0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.25,0.25,0.25,0.5,0.5,0.5,1,1,1,2,2,2,2.5,2.5,2.5,5,5,5,10,10,10,20,20,20,25,25,25,30,30,30,40,40,40,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.25,0.25,0.25,0.5,0.5,0.5,1,1,1,2,2,2,2.5,2.5,2.5,5,5,5,10,10,10,20,20,20,25,25,25,30,30,30,40,40,40
0,0.154,0.141,0.141,0.139,0.139,0.137,0.141,0.143,0.134,0.14,0.146,0.14,0.148,0.139,0.143,0.139,0.141,0.151,0.144,0.139,0.141,0.146,0.144,0.148,0.141,0.134,0.141,0.152,0.144,0.154,0.153,0.143,0.157,0.157,0.147,0.164,0.155,0.155,0.162,0.162,0.159,0.172,481,466,465,472,470,483,458,454,465,466,473,469,503,501,498,457,468,464,462,461,468,452,444,448,651,629,655,655,638,643,646,599,630,608,597,639,607,603,632,568,560,599
15,0.152,0.141,0.142,0.14,0.139,0.137,0.141,0.143,0.14,0.141,0.146,0.14,0.148,0.139,0.143,0.14,0.141,0.15,0.169,0.139,0.141,0.145,0.146,0.149,0.14,0.133,0.141,0.151,0.143,0.153,0.152,0.143,0.156,0.157,0.146,0.163,0.154,0.154,0.162,0.162,0.158,0.171,482,463,465,470,473,485,456,451,457,461,460,473,503,503,497,458,472,469,469,464,466,442,448,449,651,635,669,669,629,655,647,602,644,617,603,657,605,609,647,558,564,617
30,0.156,0.142,0.142,0.142,0.14,0.138,0.143,0.143,0.134,0.142,0.147,0.141,0.149,0.139,0.143,0.141,0.141,0.151,0.167,0.14,0.142,0.147,0.145,0.149,0.141,0.133,0.142,0.152,0.143,0.154,0.153,0.143,0.156,0.157,0.146,0.164,0.154,0.154,0.163,0.162,0.158,0.172,484,465,462,474,471,486,458,451,462,464,463,475,509,500,499,469,479,473,487,474,462,455,442,437,678,645,697,712,650,684,684,593,652,629,610,693,619,623,686,577,571,659
45,0.164,0.145,0.145,0.146,0.142,0.14,0.146,0.146,0.137,0.145,0.15,0.143,0.152,0.141,0.145,0.144,0.143,0.153,0.175,0.142,0.143,0.151,0.148,0.152,0.143,0.134,0.143,0.154,0.144,0.154,0.154,0.142,0.157,0.157,0.146,0.165,0.155,0.155,0.164,0.162,0.158,0.173,488,469,466,482,473,490,463,457,466,470,469,480,525,509,507,482,490,484,520,489,471,483,462,458,719,660,735,769,679,721,736,603,699,650,617,747,638,642,743,599,583,722
60,0.173,0.151,0.149,0.151,0.146,0.144,0.151,0.149,0.141,0.15,0.153,0.148,0.158,0.145,0.148,0.149,0.147,0.156,0.164,0.146,0.147,0.157,0.149,0.155,0.146,0.135,0.147,0.158,0.146,0.157,0.158,0.143,0.158,0.158,0.146,0.168,0.155,0.155,0.166,0.163,0.159,0.176,495,473,470,488,480,497,471,461,472,481,474,485,545,524,521,501,503,498,564,514,498,526,489,487,766,678,789,846,716,773,802,613,754,675,629,821,661,666,815,633,597,796
75,0.177,0.155,0.157,0.159,0.151,0.149,0.162,0.154,0.153,0.156,0.158,0.152,0.165,0.149,0.153,0.154,0.151,0.16,0.18,0.151,0.152,0.164,0.156,0.16,0.151,0.137,0.151,0.163,0.148,0.16,0.161,0.143,0.161,0.158,0.147,0.171,0.156,0.156,0.17,0.165,0.159,0.18,500,481,476,500,488,504,478,467,474,491,485,493,564,537,536,520,520,515,605,540,525,561,522,515,822,705,846,952,767,848,896,629,837,710,644,926,695,700,914,672,622,904
90,0.189,0.165,0.164,0.17,0.159,0.157,0.169,0.163,0.155,0.167,0.166,0.161,0.176,0.157,0.161,0.165,0.159,0.167,0.179,0.159,0.159,0.176,0.165,0.169,0.158,0.14,0.158,0.17,0.151,0.165,0.166,0.144,0.165,0.16,0.148,0.176,0.158,0.158,0.174,0.166,0.16,0.184,510,487,483,512,499,511,488,476,481,504,493,505,585,553,550,539,537,531,643,560,546,599,548,543,871,725,898,1073,833,937,1030,653,949,762,665,1075,745,746,1060,729,651,1054
105,0.208,0.178,0.176,0.189,0.171,0.168,0.187,0.175,0.165,0.184,0.179,0.173,0.193,0.168,0.172,0.179,0.171,0.178,0.198,0.171,0.17,0.194,0.177,0.181,0.166,0.143,0.167,0.179,0.156,0.171,0.171,0.145,0.17,0.162,0.148,0.181,0.159,0.159,0.179,0.168,0.161,0.189,524,500,495,532,510,520,506,488,494,520,508,516,611,570,570,566,555,549,689,587,574,644,580,570,916,747,944,1181,894,1018,1195,680,1092,833,694,1270,814,813,1251,805,694,1252
120,0.231,0.197,0.191,0.213,0.188,0.184,0.211,0.193,0.184,0.206,0.196,0.192,0.216,0.184,0.188,0.2,0.187,0.194,0.226,0.187,0.187,0.219,0.196,0.198,0.181,0.149,0.182,0.193,0.163,0.18,0.183,0.146,0.177,0.164,0.149,0.188,0.162,0.162,0.186,0.171,0.162,0.195,549,519,513,563,532,539,534,509,509,547,529,537,653,596,596,605,583,577,768,621,614,713,626,614,967,765,996,1290,953,1088,1346,712,1233,911,730,1476,897,892,1470,906,746,1493
