0,0,0,0,1,1,1,5,5,5,10,10,10,15,15,15,20,20,20,25,25,25,50,50,50,100,100,100,125,125,125,150,150,150,200,200,200,0,0,0,1,1,1,5,5,5,10,10,10,15,15,15,20,20,20,25,25,25,50,50,50,100,100,100,125,125,125,150,150,150,200,200,200
0,0.122,0.121,0.12,0.125,0.121,0.122,0.122,0.12,0.123,0.119,0.12,0.119,0.117,0.119,0.119,0.122,0.12,0.117,0.119,0.117,0.119,0.122,0.119,0.118,0.119,0.119,0.12,0.121,0.121,0.119,0.122,0.127,0.117,0.116,0.125,0.121,452,459,461,507,510,507,564,557,573,590,589,585,614,610,605,589,589,589,589,595,576,578,586,592,604,601,596,585,587,595,615,656,594,600,615,618
15,0.129,0.129,0.127,0.132,0.128,0.128,0.126,0.124,0.127,0.124,0.123,0.122,0.122,0.122,0.122,0.125,0.123,0.12,0.122,0.12,0.121,0.125,0.122,0.122,0.123,0.122,0.123,0.124,0.125,0.122,0.124,0.131,0.121,0.12,0.128,0.125,458,472,469,549,549,549,663,652,678,714,722,715,736,726,713,702,684,691,696,698,674,676,698,718,718,706,696,686,677,692,719,773,698,701,724,746
30,0.141,0.141,0.139,0.142,0.138,0.138,0.134,0.131,0.135,0.13,0.13,0.128,0.128,0.128,0.127,0.129,0.128,0.126,0.126,0.125,0.125,0.129,0.126,0.127,0.127,0.126,0.127,0.128,0.129,0.127,0.13,0.136,0.125,0.124,0.133,0.13,486,499,498,645,651,652,914,905,938,1027,1046,1040,1065,1035,1006,983,945,964,974,977,939,943,985,1042,1021,986,968,937,918,954,998,1084,963,979,1024,1077
45,0.158,0.159,0.157,0.158,0.153,0.153,0.144,0.14,0.146,0.137,0.136,0.134,0.134,0.134,0.133,0.134,0.133,0.13,0.132,0.13,0.13,0.134,0.13,0.132,0.133,0.131,0.132,0.133,0.134,0.131,0.134,0.142,0.13,0.129,0.137,0.135,530,541,540,776,785,786,1277,1275,1317,1503,1532,1518,1565,1528,1479,1431,1377,1409,1426,1429,1368,1384,1448,1528,1489,1436,1407,1363,1333,1380,1458,1605,1402,1433,1507,1583
60,0.185,0.184,0.183,0.183,0.176,0.176,0.157,0.153,0.16,0.145,0.144,0.141,0.14,0.139,0.138,0.139,0.138,0.135,0.136,0.135,0.135,0.138,0.135,0.136,0.138,0.136,0.137,0.137,0.138,0.136,0.139,0.147,0.135,0.133,0.141,0.14,587,597,601,900,911,916,1661,1659,1703,2047,2083,2046,2155,2114,2056,1977,1907,1942,1969,1970,1878,1905,1997,2100,2061,1980,1944,1880,1849,1903,2025,2248,1936,1989,2093,2181
75,0.219,0.217,0.217,0.213,0.208,0.207,0.178,0.174,0.182,0.157,0.156,0.152,0.148,0.147,0.145,0.145,0.144,0.141,0.142,0.14,0.14,0.143,0.14,0.141,0.143,0.141,0.142,0.142,0.142,0.14,0.144,0.152,0.139,0.137,0.146,0.144,663,675,680,1016,1032,1038,1993,2002,2034,2589,2640,2597,2793,2753,2680,2574,2489,2529,2563,2552,2436,2465,2590,2723,2677,2570,2530,2442,2416,2482,2640,2955,2522,2590,2725,2829
90,0.255,0.252,0.253,0.252,0.246,0.247,0.207,0.203,0.212,0.175,0.174,0.17,0.159,0.157,0.153,0.151,0.15,0.148,0.147,0.147,0.145,0.147,0.144,0.146,0.149,0.146,0.147,0.146,0.146,0.144,0.149,0.158,0.144,0.142,0.151,0.149,781,790,802,1152,1172,1175,2266,2289,2298,3093,3162,3115,3463,3431,3348,3213,3118,3154,3189,3175,3025,3061,3231,3385,3342,3218,3165,3047,3024,3097,3310,3716,3149,3249,3412,3516
105,0.297,0.291,0.293,0.293,0.286,0.288,0.241,0.237,0.247,0.198,0.198,0.194,0.175,0.171,0.165,0.16,0.158,0.155,0.154,0.153,0.151,0.151,0.148,0.151,0.154,0.151,0.152,0.151,0.15,0.148,0.153,0.163,0.148,0.146,0.155,0.154,951,970,982,1345,1356,1369,2497,2541,2537,3504,3608,3569,4133,4115,4031,3888,3782,3819,3860,3838,3656,3685,3898,4086,4051,3891,3826,3681,3664,3751,4009,4511,3803,3939,4142,4252
120,0.338,0.33,0.337,0.329,0.321,0.328,0.282,0.277,0.289,0.226,0.23,0.223,0.196,0.192,0.184,0.172,0.171,0.167,0.164,0.162,0.159,0.156,0.153,0.156,0.16,0.156,0.158,0.155,0.155,0.153,0.158,0.168,0.153,0.151,0.159,0.159,1191,1224,1248,1622,1630,1649,2801,2834,2850,3852,4010,3979,4737,4772,4685,4594,4483,4509,4593,4535,4329,4346,4596,4832,4805,4606,4536,4361,4353,4443,4751,5347,4509,4690,4921,5033
