0,0,0,0,0.01,0.01,0.01,0.05,0.05,0.05,0.1,0.1,0.1,0.25,0.25,0.25,0.5,0.5,0.5,1,1,1,1.5,1.5,1.5,2,2,2,2.5,2.5,2.5,5,5,5,10,10,10,0,0,0,0.01,0.01,0.01,0.05,0.05,0.05,0.1,0.1,0.1,0.25,0.25,0.25,0.5,0.5,0.5,1,1,1,1.5,1.5,1.5,2,2,2,2.5,2.5,2.5,5,5,5,10,10,10
0,0.131,0.122,0.127,0.13,0.131,0.129,0.141,0.133,0.137,0.131,0.139,0.135,0.131,0.131,0.13,0.13,0.138,0.132,0.132,0.133,0.136,0.139,0.137,0.132,0.127,0.131,0.127,0.153,0.133,0.133,0.141,0.13,0.135,0.139,0.144,0.135,516,515,513,512,511,505,511,513,508,510,518,518,519,521,520,515,507,511,518,510,525,513,517,516,523,524,516,506,515,511,511,511,513,511,512,512
15,0.132,0.122,0.127,0.13,0.131,0.129,0.141,0.133,0.137,0.13,0.139,0.135,0.131,0.131,0.129,0.129,0.138,0.133,0.132,0.132,0.136,0.138,0.137,0.132,0.127,0.13,0.127,0.152,0.132,0.133,0.141,0.13,0.135,0.14,0.145,0.136,518,515,514,511,507,500,507,512,511,510,519,522,523,526,519,517,509,505,515,505,524,517,520,524,536,527,520,511,515,512,511,511,522,511,514,521
30,0.133,0.123,0.128,0.131,0.133,0.131,0.143,0.134,0.138,0.131,0.14,0.136,0.13,0.133,0.131,0.131,0.139,0.133,0.133,0.133,0.138,0.14,0.139,0.133,0.129,0.132,0.128,0.152,0.133,0.134,0.142,0.131,0.135,0.14,0.145,0.137,527,525,524,504,510,497,515,521,522,523,534,537,548,545,540,538,520,528,543,532,550,553,561,554,586,570,562,547,550,547,539,547,563,555,552,557
45,0.136,0.127,0.131,0.134,0.135,0.134,0.146,0.137,0.141,0.134,0.142,0.14,0.134,0.136,0.135,0.134,0.141,0.137,0.136,0.136,0.141,0.142,0.141,0.135,0.131,0.134,0.131,0.154,0.135,0.135,0.143,0.133,0.137,0.142,0.146,0.139,533,530,529,507,512,503,528,533,532,540,549,553,582,574,576,586,567,583,625,613,623,636,649,640,695,675,661,633,642,633,635,642,664,648,652,664
60,0.141,0.131,0.135,0.138,0.139,0.138,0.152,0.142,0.146,0.139,0.147,0.146,0.141,0.141,0.14,0.138,0.145,0.141,0.141,0.14,0.144,0.145,0.145,0.139,0.136,0.139,0.135,0.156,0.138,0.138,0.146,0.136,0.14,0.143,0.149,0.141,541,541,535,509,521,512,543,543,545,557,564,577,629,623,624,663,636,661,771,757,755,787,802,788,884,858,826,790,797,785,807,817,838,817,830,854
75,0.149,0.138,0.142,0.144,0.146,0.144,0.16,0.149,0.153,0.147,0.154,0.154,0.15,0.148,0.149,0.144,0.15,0.147,0.147,0.146,0.15,0.15,0.15,0.143,0.143,0.144,0.138,0.159,0.142,0.142,0.148,0.139,0.142,0.146,0.15,0.143,551,549,548,519,534,527,564,565,566,583,592,608,694,680,684,766,731,766,983,957,938,999,1021,1001,1166,1115,1068,1016,1026,1006,1058,1073,1095,1069,1085,1119
90,0.16,0.148,0.152,0.153,0.155,0.154,0.173,0.16,0.165,0.157,0.164,0.166,0.163,0.16,0.16,0.153,0.157,0.157,0.156,0.154,0.157,0.156,0.156,0.149,0.15,0.151,0.145,0.165,0.146,0.147,0.151,0.142,0.145,0.148,0.152,0.145,574,571,565,538,554,548,599,597,598,619,626,651,781,763,769,895,857,900,1264,1221,1181,1293,1315,1284,1542,1473,1394,1328,1327,1298,1376,1396,1422,1381,1397,1445
105,0.177,0.164,0.166,0.168,0.169,0.167,0.192,0.176,0.181,0.173,0.179,0.185,0.183,0.177,0.177,0.167,0.167,0.169,0.168,0.164,0.167,0.164,0.164,0.157,0.161,0.161,0.153,0.17,0.152,0.152,0.155,0.144,0.148,0.15,0.154,0.147,606,601,596,575,587,584,651,643,646,673,679,718,903,868,879,1067,1013,1072,1645,1578,1503,1679,1710,1666,2044,1951,1833,1740,1733,1691,1742,1755,1797,1727,1749,1805
120,0.202,0.185,0.188,0.189,0.19,0.187,0.219,0.2,0.206,0.198,0.2,0.212,0.212,0.202,0.203,0.185,0.182,0.189,0.185,0.179,0.179,0.175,0.175,0.166,0.174,0.174,0.163,0.179,0.16,0.16,0.157,0.147,0.15,0.151,0.155,0.149,669,655,650,633,646,647,745,720,726,758,766,823,1081,1031,1047,1305,1233,1322,2167,2080,1943,2224,2268,2197,2755,2622,2444,2312,2290,2229,2161,2168,2220,2099,2117,2181
135,0.238,0.218,0.219,0.219,0.22,0.217,0.258,0.234,0.24,0.232,0.233,0.25,0.253,0.236,0.238,0.213,0.205,0.218,0.208,0.201,0.2,0.191,0.191,0.181,0.193,0.19,0.177,0.189,0.17,0.17,0.161,0.151,0.153,0.153,0.157,0.15,770,749,741,729,737,744,885,845,851,896,903,978,1345,1272,1290,1650,1548,1672,2897,2781,2544,2981,3047,2939,3753,3570,3300,3114,3066,2980,2628,2634,2689,2471,2481,2566
150,0.268,0.247,0.247,0.249,0.252,0.246,0.288,0.262,0.27,0.262,0.26,0.279,0.285,0.269,0.269,0.247,0.234,0.253,0.238,0.229,0.225,0.211,0.212,0.2,0.217,0.212,0.195,0.202,0.183,0.182,0.164,0.153,0.155,0.155,0.158,0.151,919,887,874,868,872,886,1094,1025,1033,1092,1098,1210,1728,1609,1629,2128,2002,2164,3913,3738,3368,4033,4121,3975,5157,4891,4489,4220,4150,4021,3152,3152,3225,2861,2862,2961
165,0.31,0.289,0.289,0.292,0.292,0.287,0.326,0.302,0.312,0.308,0.303,0.316,0.327,0.315,0.315,0.278,0.261,0.284,0.268,0.257,0.255,0.237,0.237,0.224,0.245,0.237,0.217,0.22,0.198,0.198,0.166,0.157,0.158,0.156,0.159,0.153,1212,1137,1106,1101,1090,1122,1412,1318,1323,1407,1411,1558,2302,2129,2181,2876,2705,2969,5610,5213,4629,5627,5658,5494,7132,6829,6282,5778,5621,5416,3762,3748,3822,3256,3258,3367
180,0.342,0.317,0.315,0.319,0.32,0.313,0.358,0.331,0.344,0.339,0.33,0.348,0.361,0.346,0.344,0.311,0.3,0.317,0.307,0.293,0.287,0.262,0.263,0.249,0.275,0.266,0.242,0.239,0.217,0.215,0.169,0.16,0.161,0.157,0.16,0.154,1398,1340,1313,1320,1299,1352,1728,1602,1618,1734,1755,1939,3008,2756,2804,3788,3547,3858,7199,6830,6016,7316,7503,7178,9597,8938,8070,7464,7272,7015,4278,4246,4329,3539,3526,3660
195,0.384,0.356,0.354,0.357,0.357,0.351,0.395,0.368,0.382,0.376,0.366,0.387,0.404,0.383,0.381,0.344,0.327,0.351,0.331,0.317,0.312,0.294,0.294,0.278,0.31,0.295,0.265,0.26,0.238,0.235,0.172,0.162,0.164,0.157,0.161,0.155,1676,1603,1571,1612,1562,1649,2089,1936,1943,2107,2149,2357,3771,3508,3554,5129,4930,5225,9923,9436,8312,9870,10134,9652,12773,11963,10777,9856,9522,9178,4844,4804,4889,3818,3805,3951
210,0.403,0.38,0.379,0.386,0.388,0.379,0.412,0.387,0.403,0.4,0.392,0.402,0.428,0.413,0.411,0.383,0.361,0.39,0.365,0.349,0.343,0.313,0.311,0.295,0.329,0.316,0.291,0.283,0.259,0.255,0.176,0.166,0.167,0.158,0.161,0.156,1970,1890,1868,1947,1887,1997,2471,2301,2313,2554,2639,2803,4648,4395,4452,6675,6727,6775,13440,12862,11374,13641,13994,13324,17236,16103,14469,13072,12615,12074,5544,5495,5599,4173,4152,4319
225,0.415,0.393,0.391,0.402,0.401,0.394,0.423,0.398,0.415,0.412,0.406,0.414,0.442,0.427,0.425,0.4,0.389,0.407,0.4,0.381,0.374,0.337,0.336,0.318,0.355,0.338,0.308,0.298,0.273,0.27,0.18,0.17,0.17,0.159,0.162,0.156,2207,2130,2105,2233,2168,2295,2760,2606,2618,2924,3055,3171,5398,5241,5277,8282,8669,8365,16920,16333,14620,18078,18447,17743,22425,20994,19073,17117,16458,15695,6369,6268,6399,4534,4506,4694
240,0.423,0.402,0.399,0.413,0.411,0.405,0.426,0.405,0.421,0.42,0.412,0.418,0.449,0.434,0.433,0.413,0.406,0.421,0.416,0.402,0.398,0.368,0.364,0.344,0.384,0.365,0.33,0.315,0.287,0.283,0.185,0.175,0.174,0.16,0.163,0.157,2410,2332,2317,2486,2426,2611,3171,2957,3073,3330,3616,3654,6060,5959,6005,9844,10706,9882,20536,19995,18161,22916,23234,22574,28055,26468,24389,22031,21192,20178,7354,7200,7378,4967,4942,5142
255,0.426,0.406,0.404,0.414,0.411,0.407,0.43,0.409,0.422,0.419,0.411,0.416,0.45,0.436,0.435,0.421,0.416,0.426,0.43,0.415,0.412,0.397,0.387,0.369,0.417,0.393,0.354,0.334,0.305,0.3,0.19,0.179,0.179,0.161,0.164,0.158,2469,2389,2375,2568,2497,2675,3089,2971,2961,3364,3540,3611,6352,6318,6333,10804,12003,10763,23177,22657,20803,27102,27307,26700,33027,31137,28848,26602,25670,24519,8176,8017,8240,5253,5247,5463
270,0.429,0.41,0.409,0.416,0.41,0.412,0.434,0.415,0.425,0.42,0.416,0.42,0.447,0.434,0.433,0.423,0.422,0.426,0.437,0.423,0.42,0.408,0.398,0.378,0.433,0.414,0.38,0.356,0.324,0.32,0.194,0.185,0.183,0.161,0.164,0.159,2525,2439,2425,2655,2564,2755,3143,3029,3039,3465,3710,3729,6551,6705,6603,11674,13128,11377,25315,24950,23159,31203,31274,30721,38039,35970,33609,31525,30501,29215,9200,8984,9269,5615,5589,5839
