0,0,0,0,1,1,1,5,5,5,10,10,10,15,15,15,20,20,20,25,25,25,50,50,50,100,100,100,125,125,125,150,150,150,200,200,200,0,0,0,1,1,1,5,5,5,10,10,10,15,15,15,20,20,20,25,25,25,50,50,50,100,100,100,125,125,125,150,150,150,200,200,200
0,0.112,0.108,0.107,0.109,0.108,0.11,0.11,0.112,0.109,0.108,0.107,0.108,0.105,0.108,0.111,0.106,0.104,0.109,0.112,0.112,0.106,0.109,0.112,0.111,0.111,0.111,0.111,0.111,0.113,0.111,0.112,0.112,0.112,0.119,0.115,0.115,395,397,392,387,389,393,388,395,391,385,395,394,393,408,401,402,398,393,394,395,392,388,388,382,375,377,377,366,367,370,364,364,363,355,356,353
15,0.114,0.11,0.109,0.111,0.11,0.111,0.112,0.113,0.11,0.11,0.109,0.109,0.107,0.11,0.113,0.108,0.105,0.112,0.114,0.113,0.108,0.11,0.113,0.112,0.112,0.112,0.113,0.112,0.114,0.113,0.113,0.114,0.113,0.12,0.116,0.116,394,401,399,395,394,400,392,404,400,395,402,402,396,411,401,403,400,397,400,397,394,396,394,391,387,381,380,369,372,373,371,369,365,354,355,355
30,0.12,0.115,0.113,0.115,0.114,0.115,0.116,0.117,0.114,0.114,0.113,0.114,0.111,0.114,0.117,0.112,0.11,0.115,0.117,0.116,0.112,0.113,0.116,0.115,0.115,0.115,0.116,0.115,0.116,0.116,0.116,0.117,0.115,0.122,0.118,0.118,404,418,411,407,405,414,407,421,416,413,423,417,410,428,415,426,418,412,422,412,411,424,423,423,423,412,411,399,400,402,400,402,395,385,387,391
45,0.127,0.121,0.118,0.12,0.12,0.12,0.122,0.122,0.119,0.119,0.119,0.119,0.117,0.119,0.123,0.117,0.114,0.12,0.121,0.12,0.117,0.118,0.121,0.119,0.119,0.119,0.119,0.118,0.12,0.119,0.12,0.121,0.119,0.125,0.121,0.122,416,426,421,416,417,423,422,430,426,428,436,421,428,446,431,441,437,431,441,434,434,463,462,461,483,467,464,457,458,465,471,471,461,454,459,470
60,0.139,0.131,0.129,0.13,0.129,0.129,0.131,0.131,0.128,0.128,0.128,0.128,0.128,0.128,0.132,0.125,0.123,0.129,0.13,0.128,0.125,0.126,0.129,0.127,0.127,0.126,0.126,0.125,0.126,0.126,0.126,0.127,0.125,0.13,0.126,0.127,430,441,432,433,432,435,437,447,440,446,457,442,456,469,453,465,461,455,470,461,463,501,506,506,556,541,533,541,538,543,561,564,554,563,574,588
75,0.157,0.147,0.144,0.145,0.144,0.144,0.146,0.145,0.14,0.141,0.143,0.142,0.143,0.142,0.146,0.138,0.135,0.141,0.142,0.14,0.137,0.137,0.141,0.138,0.137,0.136,0.135,0.134,0.135,0.135,0.135,0.137,0.133,0.137,0.134,0.134,452,460,453,454,450,456,459,467,463,474,482,471,494,504,486,503,494,491,508,501,502,565,567,574,661,638,629,646,644,650,688,690,675,704,719,736
90,0.185,0.17,0.166,0.168,0.166,0.165,0.168,0.165,0.16,0.161,0.165,0.164,0.166,0.162,0.166,0.158,0.154,0.161,0.161,0.157,0.156,0.155,0.159,0.155,0.153,0.149,0.149,0.147,0.147,0.148,0.148,0.15,0.146,0.147,0.144,0.144,500,499,488,492,486,491,499,511,502,527,537,530,573,567,549,571,560,557,582,573,576,680,697,699,848,811,791,826,822,836,896,899,867,907,925,954
105,0.223,0.204,0.199,0.202,0.197,0.196,0.201,0.197,0.189,0.191,0.195,0.194,0.199,0.192,0.196,0.186,0.181,0.189,0.187,0.183,0.182,0.18,0.184,0.18,0.175,0.169,0.168,0.165,0.165,0.167,0.166,0.168,0.163,0.161,0.158,0.158,578,569,552,568,555,556,580,595,577,631,641,641,721,694,674,708,688,691,735,724,733,922,953,954,1209,1145,1108,1155,1148,1176,1259,1277,1206,1239,1266,1312
120,0.257,0.236,0.233,0.236,0.236,0.236,0.24,0.235,0.229,0.226,0.235,0.233,0.237,0.231,0.235,0.224,0.217,0.226,0.224,0.217,0.217,0.214,0.219,0.214,0.207,0.197,0.195,0.19,0.189,0.192,0.191,0.193,0.186,0.181,0.178,0.179,700,677,654,680,665,666,717,726,707,812,822,829,987,917,890,964,929,941,1019,1000,1020,1385,1454,1431,1870,1750,1689,1748,1723,1785,1897,1928,1802,1783,1827,1890
