0,0,0,0,0.25,0.25,0.25,0.5,0.5,0.5,1,1,1,2,2,2,2.5,2.5,2.5,5,5,5,10,10,10,20,20,20,25,25,25,30,30,30,40,40,40,0,0,0,0.25,0.25,0.25,0.5,0.5,0.5,1,1,1,2,2,2,2.5,2.5,2.5,5,5,5,10,10,10,20,20,20,25,25,25,30,30,30,40,40,40
0,0.117,0.111,0.108,0.111,0.114,0.117,0.115,0.114,0.114,0.117,0.112,0.121,0.112,0.114,0.108,0.114,0.109,0.117,0.118,0.118,0.112,0.119,0.114,0.112,0.116,0.114,0.111,0.119,0.111,0.112,0.115,0.114,0.114,0.114,0.109,0.111,1141,1194,1192,1189,1185,1195,1185,1172,1262,1291,1178,1313,1234,1258,1182,1225,1262,1209,1231,1226,1214,1228,1195,1215,1103,1279,1254,1247,1230,1244,1219,1234,1266,1281,1199,1221
15,0.117,0.11,0.107,0.11,0.113,0.117,0.114,0.113,0.113,0.114,0.111,0.112,0.111,0.113,0.108,0.113,0.108,0.115,0.116,0.117,0.111,0.118,0.113,0.111,0.115,0.113,0.111,0.117,0.11,0.111,0.114,0.113,0.114,0.114,0.109,0.111,1150,1210,1214,1209,1209,1217,1208,1184,1287,1308,1207,1305,1249,1278,1188,1246,1286,1229,1245,1237,1230,1241,1208,1234,1120,1293,1270,1257,1240,1254,1231,1244,1280,1279,1221,1240
30,0.119,0.112,0.108,0.112,0.114,0.119,0.115,0.114,0.114,0.115,0.112,0.114,0.113,0.113,0.108,0.114,0.11,0.116,0.117,0.118,0.112,0.119,0.114,0.113,0.116,0.114,0.112,0.118,0.111,0.112,0.115,0.114,0.115,0.115,0.111,0.112,1169,1232,1233,1233,1224,1236,1226,1202,1307,1328,1227,1324,1265,1291,1201,1260,1300,1235,1255,1253,1250,1254,1217,1245,1132,1308,1292,1272,1254,1270,1243,1256,1297,1301,1234,1252
45,0.121,0.114,0.11,0.113,0.116,0.121,0.116,0.116,0.116,0.117,0.114,0.116,0.115,0.115,0.11,0.116,0.112,0.118,0.119,0.12,0.114,0.121,0.115,0.115,0.117,0.116,0.113,0.119,0.112,0.113,0.115,0.115,0.116,0.116,0.111,0.113,1200,1260,1266,1254,1243,1253,1244,1220,1328,1351,1245,1332,1265,1298,1206,1270,1309,1240,1263,1260,1253,1256,1225,1248,1136,1314,1286,1274,1258,1272,1246,1263,1300,1298,1240,1254
60,0.123,0.116,0.113,0.117,0.118,0.123,0.119,0.119,0.12,0.121,0.117,0.118,0.118,0.119,0.113,0.119,0.115,0.121,0.121,0.122,0.117,0.123,0.118,0.118,0.118,0.118,0.115,0.121,0.114,0.114,0.117,0.116,0.117,0.118,0.113,0.115,1252,1312,1319,1292,1278,1288,1280,1255,1365,1380,1269,1365,1273,1304,1209,1272,1316,1241,1256,1258,1252,1254,1223,1247,1136,1309,1285,1274,1253,1266,1240,1255,1295,1301,1235,1248
75,0.127,0.12,0.117,0.121,0.123,0.127,0.123,0.123,0.124,0.126,0.121,0.124,0.123,0.123,0.117,0.123,0.119,0.125,0.126,0.127,0.121,0.127,0.122,0.122,0.121,0.121,0.118,0.123,0.118,0.117,0.119,0.118,0.12,0.12,0.115,0.117,1337,1401,1405,1360,1345,1353,1334,1311,1430,1434,1312,1427,1281,1309,1218,1276,1321,1246,1256,1257,1247,1247,1219,1242,1130,1301,1278,1273,1247,1266,1236,1250,1292,1294,1229,1242
90,0.132,0.126,0.122,0.127,0.128,0.133,0.129,0.129,0.131,0.133,0.127,0.129,0.129,0.13,0.123,0.13,0.125,0.131,0.132,0.133,0.127,0.132,0.127,0.127,0.124,0.124,0.122,0.126,0.119,0.12,0.122,0.121,0.124,0.122,0.117,0.12,1464,1535,1539,1468,1446,1453,1433,1399,1532,1521,1386,1543,1297,1324,1231,1284,1333,1245,1249,1256,1243,1242,1214,1234,1122,1292,1270,1262,1242,1258,1227,1245,1283,1290,1222,1235
105,0.141,0.135,0.13,0.135,0.136,0.141,0.138,0.138,0.141,0.143,0.137,0.14,0.138,0.139,0.132,0.139,0.134,0.14,0.14,0.142,0.136,0.14,0.135,0.136,0.128,0.129,0.126,0.13,0.124,0.125,0.126,0.125,0.127,0.126,0.121,0.123,1650,1727,1731,1628,1599,1614,1581,1538,1689,1660,1493,1622,1335,1356,1259,1305,1360,1266,1249,1254,1240,1237,1211,1232,1115,1281,1261,1254,1233,1255,1216,1237,1276,1283,1215,1228
120,0.15,0.145,0.14,0.146,0.145,0.15,0.148,0.149,0.151,0.155,0.149,0.15,0.15,0.151,0.142,0.151,0.145,0.151,0.152,0.153,0.148,0.149,0.144,0.146,0.132,0.134,0.132,0.134,0.128,0.129,0.13,0.129,0.132,0.131,0.124,0.127,1908,1997,2001,1870,1828,1848,1802,1752,1929,1882,1682,1840,1413,1426,1325,1357,1424,1312,1257,1264,1247,1228,1204,1226,1108,1270,1253,1251,1226,1251,1213,1228,1267,1276,1208,1220
135,0.163,0.159,0.153,0.159,0.158,0.164,0.163,0.163,0.167,0.172,0.165,0.165,0.167,0.167,0.157,0.166,0.16,0.167,0.168,0.169,0.164,0.162,0.158,0.16,0.138,0.141,0.138,0.14,0.133,0.135,0.134,0.135,0.138,0.136,0.13,0.133,2284,2385,2385,2227,2176,2203,2148,2085,2296,2248,1985,2198,1576,1587,1462,1487,1551,1421,1297,1303,1287,1236,1211,1236,1102,1265,1242,1241,1224,1247,1202,1219,1259,1271,1204,1211
